Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Dell,Intel i9,64.0,512GB SSD,Nvidia GTX 1650,13.3,2560x1440,10.0,3.38,Windows,4846.63
Samsung,Intel i5,16.0,256GB SSD,Nvidia RTX 3060,15.6,1366x768,8.9,1.24,macOS,1144.81
Apple,Intel i5,32.0,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,6.6,1.68,macOS,2080.95
Dell,AMD Ryzen 9,32.0,2TB SSD,Nvidia GTX 1650,16.0,1920x1080,8.5,2.2,Windows,2939.79
Razer,AMD Ryzen 3,8.0,1TB HDD,AMD Radeon RX 6800,14.0,1920x1080,9.4,2.46,FreeDOS,903.49
Lenovo,AMD Ryzen 5,4.0,512GB SSD,AMD Radeon RX 6800,13.3,2560x1440,5.8,1.41,macOS,1107.03
Lenovo,Intel i7,32.0,256GB SSD,Nvidia RTX 2060,14.0,1920x1080,8.9,1.35,FreeDOS,2052.57
Acer,Intel i7,16.0,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,4.1,2.19,FreeDOS,2017.34
Razer,Intel i5,16.0,2TB SSD,Nvidia RTX 2060,15.6,1366x768,8.5,3.48,FreeDOS,1574.78
Samsung,AMD Ryzen 7,8.0,256GB SSD,Nvidia RTX 2060,14.0,2560x1440,9.2,2.04,FreeDOS,1525.25
MSI,AMD Ryzen 5,16.0,2TB SSD,AMD Radeon RX 6600,16.0,1920x1080,11.7,2.23,macOS,1649.83
HP,AMD Ryzen 5,16.0,256GB SSD,AMD Radeon RX 6600,17.3,1366x768,5.3,3.47,Linux,996.39
Razer,AMD Ryzen 5,16.0,1TB SSD,AMD Radeon RX 6600,15.6,3840x2160,4.3,1.29,FreeDOS,3050.98
Lenovo,Intel i9,32.0,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,9.6,1.53,FreeDOS,3729.24
MSI,AMD Ryzen 5,8.0,1TB SSD,Nvidia RTX 3060,15.6,2560x1440,5.4,1.96,macOS,1723.04
Acer,Intel i9,16.0,1TB SSD,Integrated,14.0,2560x1440,11.0,1.7,macOS,1667.34
Apple,Intel i5,8.0,512GB SSD,Nvidia RTX 2060,13.3,3840x2160,4.4,2.81,Linux,2359.86
Dell,AMD Ryzen 5,32.0,1TB HDD,AMD Radeon RX 6600,16.0,3840x2160,10.2,2.09,macOS,2322.21
MSI,Intel i7,16.0,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,5.9,2.82,macOS,2449.33
Acer,Intel i7,8.0,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,10.9,3.31,FreeDOS,1517.72
MSI,AMD Ryzen 7,64.0,1TB HDD,Nvidia GTX 1650,17.3,1366x768,11.5,2.76,Linux,2935.07
Microsoft,Intel i3,4.0,512GB SSD,Nvidia RTX 3060,17.3,3840x2160,10.0,3.44,macOS,1253.28
MSI,Intel i3,4.0,256GB SSD,Nvidia RTX 2060,17.3,3840x2160,10.4,3.5,FreeDOS,1690.65
Lenovo,AMD Ryzen 7,4.0,256GB SSD,AMD Radeon RX 6600,17.3,1920x1080,10.3,1.68,Windows,1300.27
Lenovo,Intel i3,64.0,1TB SSD,Nvidia RTX 2060,16.0,3840x2160,11.8,2.78,Windows,3523.6
Razer,AMD Ryzen 3,8.0,1TB HDD,Nvidia RTX 3060,17.3,1366x768,11.4,1.81,macOS,895.17
Apple,AMD Ryzen 5,32.0,1TB SSD,Nvidia RTX 3080,16.0,1920x1080,6.6,2.85,Linux,2600.06
HP,AMD Ryzen 3,4.0,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,7.0,1.28,macOS,1296.09
MSI,AMD Ryzen 9,16.0,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,9.7,2.94,FreeDOS,3094.92
Asus,Intel i3,32.0,2TB SSD,Nvidia GTX 1650,13.3,1920x1080,6.9,2.77,macOS,1475.04
Samsung,AMD Ryzen 5,64.0,256GB SSD,Nvidia RTX 3080,14.0,3840x2160,6.4,1.89,Windows,3947.61
Samsung,Intel i9,16.0,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,4.1,1.8,FreeDOS,2230.67
Razer,Intel i9,32.0,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,5.1,2.98,Linux,3179.69
Samsung,AMD Ryzen 5,8.0,2TB SSD,AMD Radeon RX 6800,13.3,2560x1440,5.3,2.73,macOS,1141.9
Razer,Intel i7,16.0,256GB SSD,Nvidia RTX 3060,14.0,2560x1440,7.8,1.87,Linux,2523.65
Razer,AMD Ryzen 9,16.0,256GB SSD,AMD Radeon RX 6600,17.3,3840x2160,9.7,1.6,Windows,5070.16
HP,AMD Ryzen 7,32.0,2TB SSD,Nvidia RTX 3080,15.6,1366x768,9.5,2.02,FreeDOS,1847.66
Microsoft,Intel i7,64.0,2TB SSD,Nvidia RTX 2060,15.6,3840x2160,5.3,2.79,Linux,5505.95
Asus,AMD Ryzen 3,8.0,1TB HDD,Integrated,17.3,2560x1440,8.6,2.3,macOS,795.68
Razer,Intel i3,32.0,1TB SSD,AMD Radeon RX 6800,13.3,1920x1080,7.4,2.48,macOS,1830.19
HP,AMD Ryzen 7,4.0,256GB SSD,Nvidia RTX 3060,16.0,3840x2160,5.8,2.82,macOS,2094.32
MSI,Intel i3,16.0,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,6.7,3.11,Linux,967.3
Asus,AMD Ryzen 3,8.0,1TB HDD,Nvidia RTX 2060,16.0,2560x1440,9.3,1.74,Windows,845.48
Razer,Intel i3,32.0,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,11.7,2.78,FreeDOS,1695.51
Apple,Intel i7,32.0,512GB SSD,AMD Radeon RX 6800,17.3,1920x1080,8.9,3.34,FreeDOS,3268.6
Apple,Intel i3,32.0,512GB SSD,Nvidia RTX 3080,16.0,1366x768,8.8,3.17,FreeDOS,1696.13
Asus,AMD Ryzen 7,8.0,2TB SSD,AMD Radeon RX 6800,15.6,2560x1440,4.2,1.81,FreeDOS,1835.6
Acer,Intel i3,32.0,1TB HDD,Nvidia RTX 3060,15.6,3840x2160,7.0,2.88,macOS,1909.16
Razer,Intel i3,16.0,512GB SSD,Nvidia GTX 1650,13.3,1920x1080,9.6,2.85,macOS,1533.81
Microsoft,AMD Ryzen 9,4.0,2TB SSD,Nvidia RTX 3060,14.0,1920x1080,8.2,2.18,FreeDOS,1381.06
Dell,Intel i5,16.0,2TB SSD,Nvidia RTX 2060,14.0,1366x768,10.3,2.92,macOS,1107.14
Asus,Intel i7,32.0,256GB SSD,AMD Radeon RX 6800,15.6,1366x768,11.1,2.4,FreeDOS,1869.87
Microsoft,AMD Ryzen 9,64.0,256GB SSD,Nvidia RTX 3080,17.3,1366x768,4.1,1.86,macOS,3529.45
Lenovo,Intel i9,16.0,256GB SSD,Nvidia RTX 3080,16.0,2560x1440,6.5,2.47,Linux,2677.41
Razer,Intel i9,16.0,512GB SSD,Nvidia RTX 2060,16.0,3840x2160,4.7,3.22,FreeDOS,4923.97
Samsung,Intel i5,4.0,256GB SSD,Nvidia RTX 2060,16.0,3840x2160,8.5,3.11,macOS,1679.8
MSI,AMD Ryzen 7,32.0,512GB SSD,Nvidia RTX 3060,14.0,1366x768,11.5,2.27,Linux,2045.0
Apple,AMD Ryzen 9,4.0,256GB SSD,Nvidia RTX 3080,15.6,2560x1440,11.6,2.93,Linux,3076.51
Razer,AMD Ryzen 7,4.0,512GB SSD,Nvidia RTX 2060,16.0,2560x1440,6.2,1.5,Linux,2234.26
Acer,Intel i7,8.0,2TB SSD,Integrated,17.3,2560x1440,8.7,3.23,Linux,1019.05
HP,Intel i3,8.0,1TB SSD,Integrated,13.3,2560x1440,10.3,1.94,macOS,691.54
Acer,Intel i9,16.0,256GB SSD,Integrated,15.6,2560x1440,8.7,3.42,FreeDOS,1863.75
Asus,AMD Ryzen 3,64.0,1TB HDD,AMD Radeon RX 6800,15.6,3840x2160,11.1,3.06,macOS,3070.19
Acer,AMD Ryzen 9,4.0,1TB HDD,Integrated,14.0,1366x768,11.2,2.02,macOS,784.09
Acer,Intel i3,8.0,512GB SSD,Nvidia RTX 2060,16.0,2560x1440,5.1,1.92,macOS,1136.84
MSI,AMD Ryzen 3,8.0,1TB HDD,Nvidia RTX 2060,15.6,1920x1080,6.1,1.6,macOS,918.46
Lenovo,Intel i9,4.0,1TB SSD,Integrated,13.3,2560x1440,10.1,2.45,Linux,1253.75
Samsung,Intel i5,64.0,2TB SSD,Nvidia RTX 2060,14.0,1366x768,8.7,2.29,Linux,1999.71
Samsung,AMD Ryzen 9,64.0,512GB SSD,Nvidia RTX 2060,15.6,3840x2160,5.0,1.66,macOS,7057.69
Samsung,AMD Ryzen 5,32.0,256GB SSD,Nvidia RTX 3080,16.0,2560x1440,9.6,2.35,FreeDOS,2189.32
Apple,AMD Ryzen 7,64.0,512GB SSD,AMD Radeon RX 6800,17.3,1920x1080,8.1,1.74,macOS,4807.96
Asus,AMD Ryzen 7,4.0,1TB SSD,AMD Radeon RX 6800,16.0,1366x768,8.2,1.97,Windows,975.82
Apple,Intel i3,8.0,512GB SSD,Nvidia RTX 3060,13.3,3840x2160,8.7,2.33,Windows,1939.12
Razer,AMD Ryzen 5,64.0,2TB SSD,Nvidia RTX 2060,14.0,1366x768,7.7,3.35,macOS,2886.71
Acer,Intel i9,8.0,1TB SSD,Nvidia GTX 1650,15.6,1366x768,8.3,1.94,Windows,1666.22
Samsung,AMD Ryzen 5,32.0,1TB SSD,AMD Radeon RX 6600,14.0,2560x1440,5.8,2.25,Windows,1928.38
MSI,Intel i3,4.0,1TB HDD,Integrated,15.6,1920x1080,7.4,3.1,Linux,657.66
Acer,AMD Ryzen 3,8.0,1TB HDD,AMD Radeon RX 6800,17.3,2560x1440,6.1,1.51,Windows,1009.14
Dell,Intel i5,4.0,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,9.1,2.22,FreeDOS,1061.11
Asus,Intel i7,64.0,256GB SSD,AMD Radeon RX 6800,14.0,1366x768,8.7,2.54,FreeDOS,2593.13
Lenovo,Intel i7,4.0,256GB SSD,Nvidia RTX 2060,15.6,1920x1080,7.5,2.47,macOS,1124.2
MSI,Intel i3,64.0,1TB SSD,Integrated,13.3,1920x1080,6.8,1.54,FreeDOS,1733.84
Lenovo,Intel i3,64.0,1TB SSD,Integrated,14.0,1920x1080,4.6,2.2,FreeDOS,1313.41
MSI,Intel i7,8.0,2TB SSD,Integrated,16.0,3840x2160,4.9,1.62,Windows,2043.49
Microsoft,AMD Ryzen 5,32.0,1TB SSD,AMD Radeon RX 6600,16.0,1920x1080,5.9,3.04,Linux,1760.11
Acer,AMD Ryzen 5,16.0,1TB HDD,Nvidia RTX 2060,17.3,2560x1440,6.5,1.64,Linux,1255.36
Lenovo,Intel i7,4.0,512GB SSD,Nvidia RTX 2060,14.0,2560x1440,12.0,1.28,FreeDOS,1285.8
Samsung,AMD Ryzen 7,4.0,1TB SSD,AMD Radeon RX 6600,16.0,1920x1080,4.1,2.37,macOS,1186.32
Microsoft,AMD Ryzen 9,32.0,2TB SSD,Nvidia RTX 3060,14.0,1366x768,10.0,2.07,Linux,2321.07
MSI,Intel i5,16.0,2TB SSD,Nvidia RTX 3080,15.6,1366x768,5.9,2.7,Linux,1291.1
Apple,AMD Ryzen 9,32.0,2TB SSD,Nvidia RTX 3080,16.0,3840x2160,9.6,2.7,Linux,7207.3
Razer,Intel i5,32.0,1TB SSD,Nvidia RTX 2060,13.3,2560x1440,4.1,1.22,FreeDOS,2902.58
MSI,Intel i3,8.0,256GB SSD,Nvidia RTX 2060,17.3,1920x1080,5.6,2.84,macOS,1262.14
Samsung,Intel i3,4.0,2TB SSD,Integrated,16.0,1920x1080,4.2,2.09,Linux,665.23
Razer,Intel i7,32.0,2TB SSD,AMD Radeon RX 6600,15.6,1366x768,5.6,2.06,Windows,2404.1
Samsung,Intel i7,8.0,2TB SSD,Nvidia RTX 2060,14.0,2560x1440,8.1,1.26,FreeDOS,1592.22
MSI,Intel i3,16.0,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,9.6,2.4,Linux,1848.65
Asus,AMD Ryzen 7,32.0,1TB HDD,Nvidia RTX 2060,17.3,2560x1440,5.9,2.8,macOS,2147.29
MSI,Intel i5,16.0,1TB HDD,Nvidia RTX 3080,14.0,3840x2160,4.3,1.27,Linux,2128.07
MSI,Intel i3,32.0,512GB SSD,Nvidia RTX 2060,16.0,1366x768,7.6,3.19,Linux,1719.3
Acer,AMD Ryzen 3,16.0,1TB SSD,Nvidia RTX 3080,16.0,1920x1080,7.9,1.54,FreeDOS,1034.85
Samsung,Intel i7,16.0,512GB SSD,Nvidia GTX 1650,13.3,2560x1440,11.1,3.4,Linux,1737.98
Asus,Intel i3,32.0,2TB SSD,Nvidia GTX 1650,15.6,1366x768,10.2,1.6,FreeDOS,1121.49
Acer,AMD Ryzen 9,8.0,2TB SSD,Nvidia RTX 2060,15.6,1920x1080,6.1,2.94,Linux,1885.48
HP,Intel i5,64.0,1TB HDD,AMD Radeon RX 6800,15.6,2560x1440,6.0,2.25,Windows,2768.58
Apple,AMD Ryzen 9,4.0,1TB SSD,AMD Radeon RX 6800,14.0,1366x768,6.5,1.68,Windows,1771.8
Asus,AMD Ryzen 5,64.0,1TB HDD,Nvidia RTX 3060,13.3,3840x2160,7.1,1.44,macOS,3180.14
MSI,Intel i9,32.0,512GB SSD,Nvidia RTX 3080,16.0,3840x2160,5.1,3.18,Windows,6260.08
Lenovo,Intel i3,32.0,256GB SSD,Nvidia RTX 2060,14.0,1920x1080,4.9,2.54,Linux,1426.87
Samsung,Intel i3,8.0,1TB HDD,Nvidia RTX 3060,14.0,2560x1440,8.3,2.36,Linux,860.15
Razer,Intel i7,8.0,256GB SSD,Integrated,15.6,3840x2160,11.3,1.45,Linux,2105.68
Asus,Intel i7,4.0,1TB SSD,Nvidia RTX 3080,15.6,1920x1080,6.6,1.27,FreeDOS,1263.98
MSI,Intel i7,4.0,256GB SSD,AMD Radeon RX 6600,17.3,1366x768,4.4,1.53,macOS,1425.95
MSI,Intel i9,4.0,2TB SSD,Integrated,17.3,2560x1440,4.4,2.43,Linux,1888.26
Razer,Intel i5,16.0,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,10.5,2.75,FreeDOS,2367.48
HP,AMD Ryzen 5,4.0,256GB SSD,AMD Radeon RX 6600,15.6,3840x2160,5.0,1.79,FreeDOS,1629.32
Microsoft,Intel i5,4.0,2TB SSD,AMD Radeon RX 6600,13.3,1920x1080,4.6,2.42,Windows,919.76
Samsung,Intel i7,32.0,1TB SSD,Nvidia RTX 2060,17.3,2560x1440,7.5,1.46,FreeDOS,2812.46
Microsoft,AMD Ryzen 3,8.0,2TB SSD,AMD Radeon RX 6600,15.6,1920x1080,8.2,1.25,macOS,987.56
Dell,Intel i3,16.0,1TB SSD,Integrated,16.0,1920x1080,8.1,1.7,FreeDOS,811.11
MSI,Intel i3,4.0,2TB SSD,AMD Radeon RX 6600,15.6,3840x2160,5.5,1.45,Linux,1769.63
Razer,AMD Ryzen 3,16.0,512GB SSD,Nvidia RTX 2060,14.0,3840x2160,9.6,2.53,macOS,2423.96
Acer,Intel i3,32.0,2TB SSD,Integrated,14.0,2560x1440,7.2,1.62,macOS,995.68
Apple,AMD Ryzen 9,8.0,2TB SSD,Nvidia RTX 2060,16.0,3840x2160,6.8,2.76,macOS,4385.07
Samsung,Intel i3,64.0,1TB SSD,Nvidia RTX 3060,13.3,2560x1440,11.1,1.32,Linux,2363.76
Microsoft,AMD Ryzen 3,16.0,2TB SSD,Nvidia RTX 2060,15.6,1920x1080,10.1,1.82,Linux,1009.08
Samsung,AMD Ryzen 7,64.0,1TB HDD,Nvidia RTX 3060,14.0,1366x768,4.4,2.8,macOS,1933.3
Asus,AMD Ryzen 7,16.0,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,9.2,2.79,Windows,2184.36
Acer,Intel i9,64.0,256GB SSD,Nvidia RTX 3080,17.3,2560x1440,11.7,2.69,Linux,5256.2
MSI,AMD Ryzen 5,4.0,256GB SSD,Nvidia RTX 3060,17.3,2560x1440,8.3,1.33,FreeDOS,1620.5
Microsoft,Intel i7,8.0,1TB HDD,Integrated,17.3,1920x1080,6.7,2.04,Windows,774.99
Samsung,AMD Ryzen 5,4.0,512GB SSD,Nvidia RTX 2060,17.3,1920x1080,4.9,2.49,Linux,1150.48
HP,AMD Ryzen 9,16.0,1TB SSD,Nvidia RTX 3060,14.0,3840x2160,10.0,2.77,macOS,3237.16
Microsoft,AMD Ryzen 5,4.0,512GB SSD,AMD Radeon RX 6600,14.0,2560x1440,6.6,2.81,FreeDOS,1196.4
Acer,Intel i7,16.0,512GB SSD,Nvidia RTX 3080,17.3,1920x1080,11.9,2.58,macOS,1520.46
Dell,Intel i7,64.0,1TB HDD,Nvidia RTX 3080,13.3,3840x2160,7.6,3.46,Linux,4248.89
MSI,Intel i5,8.0,512GB SSD,Nvidia RTX 3060,14.0,2560x1440,7.2,2.63,Windows,1542.2
Acer,Intel i5,4.0,2TB SSD,AMD Radeon RX 6600,16.0,3840x2160,11.8,3.09,macOS,1577.56
Samsung,Intel i5,16.0,2TB SSD,Integrated,14.0,2560x1440,7.9,2.42,Windows,1080.62
Apple,AMD Ryzen 9,32.0,512GB SSD,Nvidia RTX 3060,15.6,1366x768,4.6,1.39,FreeDOS,3722.93
HP,Intel i7,4.0,256GB SSD,Nvidia RTX 2060,13.3,1366x768,8.3,1.24,macOS,987.58
Samsung,Intel i7,32.0,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,11.1,1.4,macOS,3417.44
Microsoft,AMD Ryzen 3,8.0,1TB HDD,AMD Radeon RX 6600,13.3,3840x2160,10.0,1.39,Linux,1055.14
Asus,Intel i9,8.0,2TB SSD,AMD Radeon RX 6800,17.3,3840x2160,11.8,1.89,Windows,2966.87
Apple,AMD Ryzen 5,8.0,256GB SSD,Nvidia RTX 3060,14.0,3840x2160,7.9,2.18,FreeDOS,2588.74
Samsung,AMD Ryzen 7,8.0,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,5.4,3.16,Windows,1369.25
HP,AMD Ryzen 7,32.0,2TB SSD,Nvidia GTX 1650,16.0,1920x1080,10.4,1.25,macOS,2117.78
Razer,Intel i9,4.0,256GB SSD,Nvidia RTX 3060,14.0,3840x2160,8.5,3.32,FreeDOS,3490.84
MSI,Intel i7,16.0,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,6.0,1.36,Linux,3558.43
Asus,Intel i5,16.0,512GB SSD,Integrated,17.3,3840x2160,5.9,3.4,FreeDOS,1562.79
Razer,Intel i9,4.0,1TB HDD,Integrated,15.6,2560x1440,11.6,1.26,Linux,1578.65
Asus,Intel i3,32.0,256GB SSD,Nvidia RTX 2060,17.3,3840x2160,7.7,3.28,macOS,2287.87
MSI,Intel i7,16.0,512GB SSD,AMD Radeon RX 6600,13.3,1920x1080,5.7,2.61,macOS,1943.21
Lenovo,Intel i9,4.0,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,5.6,2.05,Linux,2601.17
MSI,AMD Ryzen 9,64.0,1TB SSD,Nvidia RTX 2060,15.6,1366x768,7.6,1.65,Linux,4648.73
HP,Intel i9,64.0,1TB SSD,Nvidia RTX 3060,16.0,3840x2160,5.8,1.72,Windows,7295.08
Apple,AMD Ryzen 3,64.0,1TB HDD,Integrated,14.0,1920x1080,6.0,1.9,Windows,1779.94
Apple,Intel i9,4.0,512GB SSD,AMD Radeon RX 6600,15.6,1920x1080,9.4,1.22,FreeDOS,2321.56
Samsung,AMD Ryzen 9,4.0,2TB SSD,AMD Radeon RX 6800,15.6,2560x1440,9.5,2.67,Windows,2176.79
Razer,Intel i7,4.0,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,5.8,2.88,FreeDOS,1287.06
HP,Intel i7,8.0,2TB SSD,Nvidia RTX 2060,16.0,2560x1440,11.0,2.23,macOS,1836.79
MSI,AMD Ryzen 7,32.0,256GB SSD,Nvidia RTX 3080,17.3,1366x768,10.0,3.33,Windows,2451.68
Asus,AMD Ryzen 3,32.0,256GB SSD,Nvidia GTX 1650,14.0,1366x768,6.3,2.59,FreeDOS,1184.72
Razer,AMD Ryzen 5,16.0,512GB SSD,Nvidia RTX 2060,14.0,2560x1440,5.3,2.62,Linux,2141.79
Asus,Intel i3,4.0,256GB SSD,AMD Radeon RX 6600,15.6,2560x1440,7.8,3.42,FreeDOS,1015.53
Microsoft,AMD Ryzen 9,32.0,2TB SSD,AMD Radeon RX 6800,17.3,2560x1440,10.3,2.07,Windows,3681.85
HP,AMD Ryzen 3,4.0,512GB SSD,Nvidia RTX 3060,14.0,1366x768,7.2,1.45,Linux,704.65
Apple,Intel i7,64.0,1TB HDD,Nvidia RTX 3080,14.0,1366x768,8.4,3.13,Linux,3065.64
Samsung,Intel i5,64.0,2TB SSD,Nvidia RTX 3080,15.6,3840x2160,10.2,1.6,FreeDOS,4366.83
Apple,Intel i5,64.0,1TB SSD,Integrated,13.3,2560x1440,5.4,2.74,macOS,2949.6
Acer,AMD Ryzen 3,32.0,256GB SSD,Integrated,13.3,1920x1080,9.0,2.56,Linux,771.81
Dell,AMD Ryzen 3,16.0,256GB SSD,Nvidia GTX 1650,17.3,3840x2160,11.7,2.26,FreeDOS,1884.65
Dell,AMD Ryzen 3,4.0,1TB SSD,Nvidia RTX 2060,16.0,1366x768,5.0,3.04,Windows,610.1
Apple,AMD Ryzen 7,16.0,1TB SSD,Nvidia RTX 3080,14.0,3840x2160,6.4,2.09,FreeDOS,3726.04
Samsung,Intel i7,4.0,2TB SSD,AMD Radeon RX 6800,13.3,2560x1440,9.4,1.85,FreeDOS,1287.64
Apple,AMD Ryzen 5,4.0,2TB SSD,Nvidia RTX 2060,17.3,1366x768,7.4,2.18,Linux,1166.4
Apple,AMD Ryzen 7,8.0,256GB SSD,Nvidia GTX 1650,16.0,1366x768,12.0,2.83,Windows,1782.91
Samsung,AMD Ryzen 3,64.0,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,11.8,2.95,FreeDOS,2609.65
Apple,AMD Ryzen 7,64.0,512GB SSD,Integrated,15.6,1920x1080,6.1,3.18,macOS,3312.02
MSI,AMD Ryzen 3,32.0,1TB HDD,Nvidia RTX 3060,13.3,3840x2160,6.2,1.5,FreeDOS,2243.0
Acer,AMD Ryzen 7,8.0,256GB SSD,Nvidia GTX 1650,13.3,1920x1080,4.8,3.48,FreeDOS,1132.0
HP,Intel i7,64.0,2TB SSD,Nvidia RTX 3080,16.0,3840x2160,9.7,1.33,FreeDOS,5297.65
Acer,AMD Ryzen 7,32.0,1TB HDD,Nvidia RTX 2060,17.3,2560x1440,8.9,2.63,Linux,2378.94
Asus,Intel i9,8.0,256GB SSD,Nvidia RTX 3060,17.3,2560x1440,6.1,3.19,FreeDOS,2155.33
MSI,Intel i9,64.0,1TB SSD,Nvidia RTX 3080,16.0,1920x1080,6.5,2.25,macOS,5474.88
HP,AMD Ryzen 5,8.0,256GB SSD,AMD Radeon RX 6800,15.6,1366x768,10.4,2.3,macOS,945.67
Dell,Intel i5,64.0,1TB HDD,Nvidia RTX 3060,16.0,2560x1440,11.1,2.55,macOS,2645.43
MSI,Intel i7,16.0,1TB SSD,Nvidia RTX 3060,14.0,2560x1440,6.0,3.13,Windows,2474.58
Dell,Intel i3,64.0,1TB HDD,Nvidia RTX 3080,15.6,1920x1080,4.7,2.6,macOS,1891.61
Lenovo,AMD Ryzen 7,16.0,256GB SSD,Nvidia RTX 3060,17.3,1366x768,5.5,2.24,Windows,1285.31
Dell,AMD Ryzen 3,64.0,1TB HDD,Nvidia GTX 1650,17.3,1920x1080,4.3,1.38,macOS,1689.75
HP,AMD Ryzen 5,8.0,1TB SSD,Nvidia RTX 2060,13.3,1920x1080,7.3,1.3,macOS,1165.38
Lenovo,Intel i7,4.0,2TB SSD,AMD Radeon RX 6800,17.3,2560x1440,6.1,2.22,Windows,1447.39
MSI,Intel i5,4.0,2TB SSD,Nvidia RTX 2060,14.0,1366x768,10.5,2.47,Linux,879.57
Samsung,AMD Ryzen 7,32.0,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,10.3,2.54,FreeDOS,1890.25
Lenovo,AMD Ryzen 3,64.0,512GB SSD,Nvidia RTX 3060,17.3,3840x2160,7.6,1.56,Linux,3754.03
Samsung,Intel i3,32.0,2TB SSD,AMD Radeon RX 6800,14.0,3840x2160,11.2,3.21,FreeDOS,2124.34
Apple,AMD Ryzen 5,64.0,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,5.5,2.59,FreeDOS,3415.68
Microsoft,AMD Ryzen 5,4.0,1TB HDD,Nvidia GTX 1650,13.3,1366x768,6.1,1.82,Windows,704.15
Asus,Intel i9,4.0,2TB SSD,AMD Radeon RX 6600,14.0,3840x2160,8.7,2.93,Windows,2362.27
MSI,Intel i5,8.0,512GB SSD,Nvidia RTX 3060,14.0,1366x768,4.2,2.67,FreeDOS,963.74
HP,AMD Ryzen 5,32.0,512GB SSD,Nvidia RTX 2060,14.0,1366x768,10.4,2.67,Linux,1395.52
Apple,Intel i5,64.0,1TB HDD,Nvidia GTX 1650,16.0,1920x1080,11.9,3.41,Windows,3326.61
MSI,AMD Ryzen 3,64.0,1TB SSD,AMD Radeon RX 6600,13.3,1920x1080,8.1,1.99,Windows,2632.73
Apple,Intel i5,4.0,256GB SSD,Nvidia GTX 1650,15.6,3840x2160,5.0,2.81,FreeDOS,2389.62
Apple,AMD Ryzen 9,64.0,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,4.7,2.39,macOS,5947.14
Microsoft,Intel i3,32.0,256GB SSD,Nvidia RTX 2060,15.6,1366x768,10.4,1.3,Windows,1199.45
Acer,AMD Ryzen 9,64.0,1TB SSD,Integrated,15.6,1920x1080,11.5,3.28,Windows,2929.77
Acer,AMD Ryzen 7,4.0,1TB HDD,AMD Radeon RX 6800,13.3,3840x2160,6.1,2.48,FreeDOS,1549.1
MSI,AMD Ryzen 3,4.0,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,6.6,2.11,Windows,854.44
HP,Intel i5,16.0,2TB SSD,AMD Radeon RX 6600,13.3,1366x768,5.9,3.12,Linux,895.48
Razer,AMD Ryzen 3,8.0,1TB HDD,AMD Radeon RX 6800,13.3,3840x2160,10.7,3.3,FreeDOS,1746.38
Microsoft,AMD Ryzen 9,64.0,1TB HDD,Nvidia GTX 1650,14.0,1366x768,5.5,2.02,Linux,2619.26
HP,Intel i5,64.0,256GB SSD,Integrated,17.3,1366x768,10.8,1.77,Windows,1569.3
Dell,AMD Ryzen 7,32.0,512GB SSD,Nvidia GTX 1650,16.0,1920x1080,7.6,1.74,Linux,2222.85
Microsoft,AMD Ryzen 9,64.0,2TB SSD,Nvidia RTX 2060,14.0,3840x2160,10.6,2.8,macOS,6674.17
HP,Intel i9,8.0,256GB SSD,Nvidia RTX 3060,13.3,3840x2160,9.7,1.27,FreeDOS,2690.33
Microsoft,AMD Ryzen 9,8.0,2TB SSD,AMD Radeon RX 6800,15.6,3840x2160,11.3,3.0,Linux,2934.74
HP,AMD Ryzen 9,8.0,256GB SSD,Nvidia GTX 1650,14.0,1920x1080,8.9,2.31,Windows,1560.77
Dell,Intel i7,32.0,1TB HDD,Nvidia RTX 2060,14.0,1920x1080,11.7,3.16,Linux,1531.29
Apple,AMD Ryzen 3,8.0,1TB SSD,Nvidia RTX 3080,15.6,1366x768,8.6,1.9,Linux,1275.98
Microsoft,AMD Ryzen 7,8.0,512GB SSD,AMD Radeon RX 6600,16.0,2560x1440,9.6,1.7,Linux,1611.13
